Name;Class;Vertices;Faces;;Min X;Min Y;Min Z;Max X;Max Y;Max Z; ;Range X;Range Y;Range Z
m1117;m1117;1720;3424;;0,025;0,025;0,025;0,270945;0,113904;0,975;;0,245945;0,088904;0,95
m1116;m1116;1155;2234;;0,025;0,025;0,025;0,121029;0,975;0,108164;;0,096029;0,95;0,083164
m1115;m1115;1327;2314;;0,025;0,025;0,025;0,133451;0,975;0,133451;;0,108451;0,95;0,108451
m1114;m1114;1344;2356;;0,025;0,025;0,025;0,118989;0,975;0,118989;;0,093989;0,95;0,093989
m1113;m1113;2042;4076;;0,025;0,025;0,025;0,134803;0,125273;0,975;;0,109803;0,100273;0,95
m1112;m1112;316;621;;0,025;0,025;0,025;0,431724;0,975;0,118437;;0,406724;0,95;0,093437
m1111;m1111;523;1038;;0,025;0,025;0,025;0,455275;0,975;0,160898;;0,430275;0,95;0,135898
m1110;m1110;850;1687;;0,025;0,025;0,025;0,146727;0,975;0,392835;;0,121727;0,95;0,367835
m1109;m1109;1490;2891;;0,025;0,025;0,025;0,5864;0,975;0,157179;;0,5614;0,95;0,132179
m1108;m1108;2186;3756;;0,025;0,025;0,025;0,975;0,532729;0,0999164;;0,95;0,5077291;0,0749164
m1107;m1107;1116;2199;;0,025;0,025;0,025;0,975;0,304248;0,101067;;0,95;0,279248;0,076067
m1106;m1106;1902;4076;;0,025;0,025;0,025;0,975;0,296053;0,0823785;;0,95;0,271053;0,0573785
m1105;m1105;1550;3092;;0,025;0,025;0,025;0,975;0,280984;0,097571;;0,95;0,255984;0,072571
m1104;m1104;362;708;;0,025;0,025;0,025;0,278994;0,975;0,0737935;;0,253994;0,95;0,0487935
m1103;m1103;199;330;;0,025;0,025;0,025;0,198528;0,975;0,0714806;;0,173528;0,95;0,0464806
m1102;m1102;24;52;;0,025;0,025;0,025;0,201067;0,975;0,0566672;;0,176067;0,95;0,0316672
m1101;m1101;135;262;;0,025;0,025;0,025;0,228782;0,975;0,0543045;;0,203782;0,95;0,0293045
m1100;m1100;232;452;;0,025;0,025;0,025;0,239158;0,975;0,201019;;0,214158;0,95;0,176019
m1570;m1570;1445;3479;;0,025;0,025;0,025;0,233035;0,361782;0,975;;0,208035;0,336782;0,95
m1569;m1569;9585;16122;;0,025;0,025;0,025;0,975;0,542435;0,324979;;0,95;0,517435;0,299979
m1568;m1568;4941;10000;;0,025;0,025;0,025;0,328921;0,542179;0,975;;0,303921;0,517179;0,95
m1567;m1567;162;216;;0,025;0,025;0,025;0,499179;0,679485;0,975;;0,474179;0,654485;0,95
m1566;m1566;23624;46968;;0,025;0,025;0,025;0,975;0,360658;0,512375;;0,95;0,335658;0,487375
m1565;m1565;9011;14948;;0,025;0,025;0,025;0,943344;0,884505;0,975;;0,918344;0,859505;0,95
m1564;m1564;1346;2697;;0,025;0,025;0,025;0,655094;0,573295;0,975;;0,6300941;0,548295;0,95
m1563;m1563;616;1114;;0,025;0,025;0,025;0,698706;0,503489;0,975;;0,673706;0,478489;0,95
m1562;m1562;12016;21840;;0,025;0,025;0,025;0,975;0,661064;0,654089;;0,95;0,6360641;0,629089
m1561;m1561;332;558;;0,025;0,025;0,025;0,523565;0,500844;0,975;;0,498565;0,475844;0,95
m1560;m1560;21686;43584;;0,025;0,025;0,025;0,975;0,630625;0,671904;;0,95;0,605625;0,6469041
m1559;m1559;15606;30000;;0,025;0,025;0,025;0,416123;0,541627;0,975;;0,391123;0,516627;0,95
m1558;m1558;6943;11791;;0,025;0,025;0,025;0,347265;0,307098;0,975;;0,322265;0,282098;0,95
m1557;m1557;8489;16656;;0,025;0,025;0,025;0,975;0,380186;0,411033;;0,95;0,355186;0,386033
m1556;m1556;35131;119540;;0,025;0,025;0,025;0,975;0,333696;0,365631;;0,95;0,308696;0,340631
m1555;m1555;16607;30255;;0,025;0,025;0,025;0,975;0,419218;0,322279;;0,95;0,394218;0,297279
m1078;m1078;724;696;;0,025;0,025;0,025;0,271474;0,975;0,398059;;0,246474;0,95;0,373059
m1077;m1077;832;1471;;0,025;0,025;0,025;0,698488;0,975;0,715327;;0,673488;0,95;0,690327
m1076;m1076;17884;15303;;0,025;0,025;0,025;0,478641;0,975;0,6511;;0,453641;0,95;0,6261
m1075;m1075;574;1132;;0,025;0,025;0,025;0,362593;0,975;0,640251;;0,337593;0,95;0,615251
m1074;m1074;4806;4806;;0,025;0,025;0,025;0,532735;0,975;0,650614;;0,507735;0,95;0,625614
m1073;m1073;8197;10218;;0,025;0,025;0,025;0,88011;0,975;0,753156;;0,85511;0,95;0,728156
m1072;m1072;1356;1296;;0,025;0,025;0,025;0,477147;0,975;0,538707;;0,452147;0,95;0,513707
m1071;m1071;1086;1812;;0,025;0,025;0,025;0,954665;0,701217;0,975;;0,929665;0,676217;0,95
m1070;m1070;1194;1134;;0,025;0,025;0,025;0,314703;0,975;0,427371;;0,289703;0,95;0,402371
m1069;m1069;18418;17436;;0,025;0,025;0,025;0,907191;0,975;0,969888;;0,882191;0,95;0,944888
m1068;m1068;1366;1892;;0,025;0,025;0,025;0,975;0,853683;0,901006;;0,95;0,828683;0,876006
m1067;m1067;1058;1756;;0,025;0,025;0,025;0,761366;0,975;0,626671;;0,736366;0,95;0,601671
m1066;m1066;1904;2042;;0,025;0,025;0,025;0,467435;0,975;0,370688;;0,442435;0,95;0,345688
m1065;m1065;3007;1610;;0,025;0,025;0,025;0,538252;0,975;0,51987;;0,513252;0,95;0,49487
m1064;m1064;2681;1800;;0,025;0,025;0,025;0,516926;0,975;0,537091;;0,491926;0,95;0,512091
m1063;m1063;470;932;;0,025;0,025;0,025;0,784114;0,975;0,738876;;0,759114;0,95;0,713876
m1062;m1062;334;692;;0,025;0,025;0,025;0,597019;0,904128;0,975;;0,572019;0,879128;0,95
m1061;m1061;1078;1956;;0,025;0,025;0,025;0,975;0,93784;0,884997;;0,95;0,91284;0,859997
m1060;m1060;570;940;;0,025;0,025;0,025;0,616934;0,975;0,573635;;0,591934;0,95;0,548635
m1059;m1059;1058;1916;;0,025;0,025;0,025;0,761366;0,975;0,626671;;0,736366;0,95;0,601671
m1058;m1058;1086;1972;;0,025;0,025;0,025;0,954665;0,701217;0,975;;0,929665;0,676217;0,95
m1057;m1057;1366;2212;;0,025;0,025;0,025;0,975;0,853683;0,901006;;0,95;0,828683;0,876006
m1056;m1056;16685;18170;;0,025;0,025;0,025;0,651355;0,975;0,740198;;0,6263551;0,95;0,715198
m1055;m1055;31668;17804;;0,025;0,025;0,025;0,494956;0,975;0,51276;;0,469956;0,95;0,48776
m1054;m1054;12752;6042;;0,025;0,025;0,025;0,874154;0,975;0,859642;;0,849154;0,95;0,8346421
m1053;m1053;12581;23234;;0,025;0,025;0,025;0,975;0,900319;0,75232;;0,95;0,875319;0,72732
m1052;m1052;342;186;;0,025;0,025;0,025;0,975;0,928908;0,915534;;0,95;0,903908;0,890534
m1051;m1051;5457;4288;;0,025;0,025;0,025;0,752835;0,975;0,656532;;0,727835;0,95;0,631532
m1050;m1050;5410;4629;;0,025;0,025;0,025;0,581102;0,975;0,54077;;0,556102;0,95;0,51577
m1049;m1049;19248;10668;;0,025;0,025;0,025;0,519397;0,975;0,495222;;0,494397;0,95;0,470222
m1048;m1048;45499;43530;;0,025;0,025;0,025;0,934383;0,871798;0,975;;0,909383;0,846798;0,95
m1047;m1047;37716;36764;;0,025;0,025;0,025;0,52462;0,975;0,560969;;0,49962;0,95;0,535969
m1046;m1046;12581;23234;;0,025;0,025;0,025;0,975;0,900319;0,75232;;0,95;0,875319;0,72732
m1045;m1045;13331;10170;;0,025;0,025;0,025;0,621649;0,975;0,622829;;0,5966491;0,95;0,597829
m1044;m1044;5544;3702;;0,025;0,025;0,025;0,615355;0,975;0,622829;;0,590355;0,95;0,597829
m1043;m1043;22578;14248;;0,025;0,025;0,025;0,900875;0,975;0,906661;;0,875875;0,95;0,881661
m1042;m1042;19240;15578;;0,025;0,025;0,025;0,881251;0,975;0,88262;;0,856251;0,95;0,85762
m1041;m1041;39587;34578;;0,025;0,025;0,025;0,705534;0,975;0,699257;;0,680534;0,95;0,674257
m1040;m1040;5544;1872;;0,025;0,025;0,025;0,597369;0,975;0,621006;;0,572369;0,95;0,596006
m1039;m1039;4374;7625;;0,025;0,025;0,025;0,461971;0,975;0,504278;;0,436971;0,95;0,479278
m1038;m1038;6510;12368;;0,025;0,025;0,025;0,631702;0,975;0,257932;;0,606702;0,95;0,232932
m1037;m1037;959;2254;;0,025;0,025;0,025;0,975;0,863643;0,970102;;0,95;0,838643;0,945102
m1036;m1036;234;401;;0,025;0,025;0,025;0,58416;0,975;0,364351;;0,55916;0,95;0,339351
m1035;m1035;1787;3360;;0,025;0,025;0,025;0,876645;0,975;0,750467;;0,8516451;0,95;0,725467
m1034;m1034;228;426;;0,025;0,025;0,025;0,38689;0,975;0,485104;;0,36189;0,95;0,460104
m1033;m1033;197;480;;0,025;0,025;0,025;0,491013;0,975;0,541697;;0,466013;0,95;0,516697
m1032;m1032;96;156;;0,025;0,025;0,025;0,892086;0,897381;0,975;;0,8670861;0,872381;0,95
m1026;m1026;1522;2064;;0,025;0,025;0,025;0,950537;0,975;0,958601;;0,925537;0,95;0,933601
m1025;m1025;6696;10794;;0,025;0,025;0,025;0,886152;0,703415;0,975;;0,8611521;0,678415;0,95
m1024;m1024;22423;32733;;0,025;0,025;0,025;0,975;0,872471;0,916835;;0,95;0,847471;0,891835
m1023;m1023;2659;3236;;0,025;0,025;0,025;0,96653;0,813317;0,975;;0,94153;0,788317;0,95
m1022;m1022;7882;10842;;0,025;0,025;0,025;0,920176;0,975;0,917644;;0,8951761;0,95;0,892644
m1021;m1021;7641;11540;;0,025;0,025;0,025;0,903845;0,975;0,90316;;0,878845;0,95;0,87816
m1020;m1020;18348;30014;;0,025;0,025;0,025;0,975;0,836636;0,851268;;0,95;0,811636;0,826268
m1019;m1019;16590;21551;;0,025;0,025;0,025;0,784646;0,975;0,899334;;0,759646;0,95;0,874334
m1018;m1018;11666;15091;;0,025;0,025;0,025;0,944203;0,876864;0,975;;0,919203;0,851864;0,95
m1017;m1017;13312;20016;;0,025;0,025;0,025;0,65488;0,975;0,611239;;0,62988;0,95;0,586239
m1016;m1016;5307;7909;;0,025;0,025;0,025;0,741253;0,975;0,619754;;0,716253;0,95;0,594754
m1015;m1015;1325;2111;;0,025;0,025;0,025;0,507051;0,975;0,546773;;0,482051;0,95;0,521773
m1014;m1014;16404;20144;;0,025;0,025;0,025;0,719818;0,975;0,801019;;0,694818;0,95;0,776019
m1013;m1013;6365;7424;;0,025;0,025;0,025;0,904141;0,890785;0,975;;0,879141;0,865785;0,95
m1012;m1012;2950;4292;;0,025;0,025;0,025;0,975;0,581119;0,943566;;0,95;0,556119;0,918566
m1011;m1011;7529;10680;;0,025;0,025;0,025;0,870745;0,975;0,857125;;0,845745;0,95;0,832125
m163;m163;120;208;;0,025;0,025;0,025;0,29804;0,975;0,194092;;0,27304;0,95;0,169092
m162;m162;3581;6988;;0,025;0,025;0,025;0,356469;0,975;0,253653;;0,331469;0,95;0,228653
m161;m161;495;839;;0,025;0,025;0,025;0,349692;0,975;0,182098;;0,324692;0,95;0,157098
m160;m160;894;1627;;0,025;0,025;0,025;0,367933;0,975;0,409963;;0,342933;0,95;0,384963
m159;m159;533;998;;0,025;0,025;0,025;0,317127;0,975;0,214102;;0,292127;0,95;0,189102
m95;m95;956;1908;;0,025;0,025;0,025;0,254726;0,413236;0,975;;0,229726;0,388236;0,95
m94;m94;3332;6328;;-3,97463E+07;-1,7221E+08;-4,54395E+08;5,58662E+07;2,1099E+07;8049400;;9,56125E+07;1,93309E+08;4,624444E+08
m93;m93;278;464;;0,025;0,025;0,025;0,975;0,657726;0,29666;;0,95;0,632726;0,27166
m92;m92;1971;3888;;0,025;0,025;0,025;0,335514;0,890256;0,975;;0,310514;0,865256;0,95
m91;m91;1614;3169;;0,025;0,025;0,025;0,338336;0,86107;0,975;;0,313336;0,83607;0,95
m90;m90;1783;3526;;0,025;0,025;0,025;0,485433;0,5735;0,975;;0,460433;0,5485;0,95
m9;m9;557;902;;0,025;0,025;0,025;0,830435;0,975;0,482593;;0,805435;0,95;0,457593
m89;m89;12515;25030;;0,025;0,025;0,025;0,366076;0,832384;0,975;;0,341076;0,807384;0,95
m88;m88;1618;3220;;0,025;0,025;0,025;0,244397;0,617999;0,975;;0,219397;0,592999;0,95
m87;m87;691;1331;;0,025;0,025;0,025;0,305914;0,811559;0,975;;0,280914;0,786559;0,95
m86;m86;176;245;;0,025;0,025;0,025;0,18809;0,627269;0,975;;0,16309;0,6022691;0,95
m85;m85;1981;3907;;0,025;0,025;0,025;0,542246;0,499659;0,975;;0,517246;0,474659;0,95
m84;m84;2777;5263;;0,025;0,025;0,025;0,0777835;0,0683238;0,975;;0,0527835;0,0433238;0,95
m83;m83;98;154;;0,025;0,025;0,025;0,712854;0,975;0,706513;;0,6878541;0,95;0,681513
m82;m82;4144;8276;;0,025;0,025;0,025;0,975;0,78087;0,650372;;0,95;0,75587;0,6253721
m81;m81;857;1673;;0,025;0,025;0,025;0,4145;0,291;0,975;;0,3895;0,266;0,95
m80;m80;1104;2104;;0,025;0,025;0,025;0,975;0,308883;0,416001;;0,95;0,283883;0,391001
m8;m8;423;698;;0,025;0,025;0,025;0,478489;0,975;0,834222;;0,453489;0,95;0,809222
m79;m79;166;226;;0,025;0,025;0,025;0,975;0,256171;0,300958;;0,95;0,231171;0,275958
m78;m78;468;734;;0,025;0,025;0,025;0,975;0,51665;0,428181;;0,95;0,49165;0,403181
m77;m77;11578;23022;;0,025;0,025;0,025;0,975;0,407994;0,611203;;0,95;0,382994;0,586203
m76;m76;1583;3164;;0,025;0,025;0,025;0,39593;0,35314;0,975;;0,37093;0,32814;0,95
m75;m75;298;512;;0,025;0,025;0,025;0,538384;0,299311;0,975;;0,513384;0,274311;0,95
m74;m74;162;336;;0,025;0,025;0,025;0,354455;0,321596;0,975;;0,329455;0,296596;0,95
m73;m73;285;564;;0,025;0,025;0,025;0,975;0,610865;0,376181;;0,95;0,585865;0,351181
m72;m72;331;590;;0,025;0,025;0,025;0,456203;0,262828;0,975;;0,431203;0,237828;0,95
m71;m71;420;836;;0,025;0,025;0,025;0,32599;0,371535;0,975;;0,30099;0,346535;0,95
m70;m70;320;560;;0,025;0,025;0,025;0,454415;0,266076;0,975;;0,429415;0,241076;0,95
m7;m7;265;506;;0,025;0,025;0,025;0,570829;0,577454;0,975;;0,545829;0,552454;0,95
m69;m69;317;568;;0,025;0,025;0,025;0,357325;0,264776;0,975;;0,332325;0,239776;0,95
m68;m68;553;1098;;0,025;0,025;0,025;0,975;0,278519;0,18743;;0,95;0,253519;0,16243
m67;m67;14000;27996;;0,025;0,025;0,025;0,975;0,2497;0,388988;;0,95;0,2247;0,363988
m66;m66;4117;8198;;0,025;0,025;0,025;0,445705;0,547553;0,975;;0,420705;0,522553;0,95
m65;m65;1004;1930;;0,025;0,025;0,025;0,399816;0,604595;0,975;;0,374816;0,579595;0,95
m64;m64;247;444;;0,025;0,025;0,025;0,975;0,545087;0,1789;;0,95;0,520087;0,1539
m63;m63;1112;1792;;0,025;0,025;0,025;0,975;0,724541;0,777238;;0,95;0,699541;0,752238
m62;m62;241;478;;0,025;0,025;0,025;0,131276;0,749178;0,975;;0,106276;0,724178;0,95
m61;m61;216;338;;0,025;0,025;0,025;0,18743;0,443396;0,975;;0,16243;0,418396;0,95
m60;m60;1606;3208;;0,025;0,025;0,025;0,348674;0,407675;0,975;;0,323674;0,382675;0,95
m6;m6;9184;17998;;0,025;0,025;0,025;0,668147;0,702228;0,975;;0,6431471;0,677228;0,95
m59;m59;44;1680;;0,025;0,025;0,025;0,225;0,225;0,975;;0,2;0,2;0,95
m58;m58;477;950;;0,025;0,025;0,025;0,537049;0,500211;0,975;;0,512049;0,475211;0,95
m57;m57;18878;36468;;0,025;0,025;0,025;0,143963;0,389443;0,975;;0,118963;0,364443;0,95
m56;m56;5814;10950;;0,025;0,025;0,025;0,168956;0,367452;0,975;;0,143956;0,342452;0,95
m55;m55;19505;37531;;0,025;0,025;0,025;0,18151;0,380146;0,975;;0,15651;0,355146;0,95
m54;m54;18143;34598;;0,025;0,025;0,025;0,254899;0,371143;0,975;;0,229899;0,346143;0,95
m53;m53;18409;35270;;0,025;0,025;0,025;0,163371;0,348761;0,975;;0,138371;0,323761;0,95
m52;m52;294;578;;0,025;0,025;0,025;0,975;0,620667;0,909953;;0,95;0,595667;0,884953
m51;m51;309;598;;0,025;0,025;0,025;0,975;0,479684;0,551688;;0,95;0,454684;0,526688
m50;m50;93;182;;0,025;0,025;0,025;0,406048;0,564283;0,975;;0,381048;0,539283;0,95
m5;m5;4710;8773;;0,025;0,025;0,025;0,621308;0,450884;0,975;;0,5963081;0,425884;0,95
m49;m49;2329;4372;;0,025;0,025;0,025;0,975;0,800992;0,691101;;0,95;0,775992;0,666101
m48;m48;427;824;;0,025;0,025;0,025;0,488025;0,456093;0,975;;0,463025;0,431093;0,95
m47;m47;101;165;;0,025;0,025;0,025;0,695803;0,148154;0,975;;0,670803;0,123154;0,95
m46;m46;576;1094;;0,025;0,025;0,025;0,975;0,322111;0,704876;;0,95;0,297111;0,679876
m45;m45;16542;33072;;0,025;0,025;0,025;0,975;0,290348;0,486435;;0,95;0,265348;0,461435
m44;m44;401;798;;0,025;0,025;0,025;0,975;0,458833;0,2663;;0,95;0,433833;0,2413
m43;m43;41;60;;0,025;0,025;0,025;0,927106;0,606166;0,975;;0,902106;0,581166;0,95
m42;m42;116;265;;0,025;0,025;0,025;0,975;0,210109;0,497043;;0,95;0,185109;0,472043
m41;m41;1824;3709;;0,025;0,025;0,025;0,975;0,147249;0,467716;;0,95;0,122249;0,442716
m40;m40;2684;5390;;0,025;0,025;0,025;0,975;0,284845;0,347879;;0,95;0,259845;0,322879
m4;m4;4346;8216;;0,025;0,025;0,025;0,556745;0,975;0,332245;;0,531745;0,95;0,307245
m39;m39;649;1156;;0,025;0,025;0,025;0,883574;0,975;0,259557;;0,858574;0,95;0,234557
m38;m38;464;930;;0,025;0,025;0,025;0,975;0,260681;0,292609;;0,95;0,235681;0,267609
m37;m37;567;1130;;0,025;0,025;0,025;0,975;0,437258;0,746203;;0,95;0,412258;0,721203
m36;m36;1289;2531;;0,025;0,025;0,025;0,944541;0,808922;0,975;;0,919541;0,783922;0,95
m35;m35;699;1394;;0,025;0,025;0,025;0,792373;0,63608;0,975;;0,767373;0,6110801;0,95
m34;m34;233;462;;0,025;0,025;0,025;0,975;0,257154;0,544293;;0,95;0,232154;0,519293
m1638;m1638;8815;17640;;0,025;0,025;0,025;0,789762;0,484525;0,975;;0,764762;0,459525;0,95
m1637;m1637;1002;2000;;0,025;0,025;0,025;0,784695;0,681205;0,975;;0,7596951;0,656205;0,95
m1636;m1636;426;848;;0,025;0,025;0,025;0,893712;0,898678;0,975;;0,868712;0,873678;0,95
m1635;m1635;5092;10190;;0,025;0,025;0,025;0,844032;0,698107;0,975;;0,819032;0,673107;0,95
m1634;m1634;5814;11562;;0,025;0,025;0,025;0,927438;0,685583;0,975;;0,902438;0,660583;0,95
m1633;m1633;1400;2653;;0,025;0,025;0,025;0,505742;0,849176;0,975;;0,480742;0,824176;0,95
m1632;m1632;1264;2574;;0,025;0,025;0,025;0,862625;0,795065;0,975;;0,837625;0,770065;0,95
m1631;m1631;2064;3414;;0,025;0,025;0,025;0,854637;0,488631;0,975;;0,8296371;0,463631;0,95
m1630;m1630;562;1120;;0,025;0,025;0,025;0,892071;0,447202;0,975;;0,867071;0,422202;0,95
m1629;m1629;2388;4284;;0,025;0,025;0,025;0,729621;0,448129;0,975;;0,704621;0,423129;0,95
m1628;m1628;958;1500;;0,025;0,025;0,025;0,790791;0,555515;0,975;;0,765791;0,530515;0,95
m1627;m1627;1009;1998;;0,025;0,025;0,025;0,975;0,462361;0,690203;;0,95;0,437361;0,665203
m1626;m1626;117;190;;0,025;0,025;0,025;0,975;0,438829;0,962357;;0,95;0,413829;0,937357
m1625;m1625;672;1027;;0,025;0,025;0,025;0,975;0,604236;0,616858;;0,95;0,579236;0,591858
m1624;m1624;50184;100400;;0,025;0,025;0,025;0,801397;0,404827;0,975;;0,776397;0,379827;0,95
m1623;m1623;21013;40348;;0,025;0,025;0,025;0,975;0,914519;0,920357;;0,95;0,889519;0,895357
m1099;m1099;302;600;;0,025;0,025;0,025;0,384703;0,975;0,0837566;;0,359703;0,95;0,0587566
m1098;m1098;3441;3701;;0,025;0,025;0,025;0,909062;0,86264;0,975;;0,8840621;0,83764;0,95
m1097;m1097;35;31;;0,025;0,025;0,025;0,418527;0,975;0,02842;;0,393527;0,95;0,003419999
m1096;m1096;835;1376;;0,025;0,025;0,025;0,565825;0,975;0,563253;;0,540825;0,95;0,538253
m1095;m1095;1303;1445;;0,025;0,025;0,025;0,965689;0,975;0,951578;;0,940689;0,95;0,926578
m1031;m1031;729;1284;;0,025;0,025;0,025;0,66757;0,909267;0,975;;0,64257;0,884267;0,95
m1030;m1030;395;692;;0,025;0,025;0,025;0,975;0,664002;0,890516;;0,95;0,639002;0,865516
m1029;m1029;316;548;;0,025;0,025;0,025;0,487126;0,975;0,664294;;0,462126;0,95;0,639294
m1028;m1028;11200;12840;;0,025;0,025;0,025;0,862012;0,975;0,853213;;0,8370121;0,95;0,828213
