MeshName,Name,Class,Vertices,Faces,,Min X,Min Y,Min Z,Max X,Max Y,Max Z," ",Range X,Range Y,Range Z,Volume
PSB_663,PSB_663,gun,5250,10394,,-1,-0.6457273,-0.2699861,1,0.4034336,-0.04672039,,2,1.049161,0.2232657,0.4684833
PSB_1427,PSB_1427,sea vessel,5250,9303,,-1,-0.1534566,-0.1166705,0.9999999,0.1719786,0.3368305,,2,0.3254352,0.453501,0.2951703
PSB_163,PSB_163,human,5250,10261,,-1,-0.4058713,-0.2727759,1,0.1587056,0.05394173,,2,0.5645769,0.3267176,0.3689145
PSB_363,PSB_363,head body part,5250,10196,,-1,-0.910385,-0.8418883,0.9999999,0.672757,0.4633536,,2,1.583142,1.305242,4.132767
PSB_263,PSB_263,human,5250,10135,,-1,-0.6004858,-0.4025266,0.9999999,0.4209871,0.2636894,,2,1.021473,0.666216,1.361043
PSB_1501,PSB_1501,car vehicle,5250,9466,,-1,-0.5830328,-0.3780164,1,0.4903893,0.481288,,2,1.073422,0.8593044,1.844793
PSB_1462,PSB_1462,sea vessel,5250,10155,,-1,-0.5624501,-0.2394994,1,0.5476466,0.8394259,,2,1.110097,1.078925,2.395423
PSB_1122,PSB_1122,winged vehicle aircraft,5250,8529,,-0.5724976,-1,-0.3959087,0.9999999,0.6388563,0.07505071,,1.572497,1.638856,0.4709594,1.213708
PSB_976,PSB_976,plant,5250,9408,,-0.8062392,-0.9601734,-1,1,0.3057548,0.3587681,,1.806239,1.265928,1.358768,3.106917
PSB_876,PSB_876,table furniture,5250,10139,,-1,-0.957839,-0.3478554,0.9802864,1,0.6867346,,1.980286,1.957839,1.03459,4.01119
PSB_576,PSB_576,microchip,5250,9067,,-1,-0.424202,-0.103726,1,0.4799352,0.2341887,,2,0.9041372,0.3379147,0.6110425
PSB_476,PSB_476,building,5250,10121,,-1,-0.894733,-0.522294,0.9903327,1,0.9992309,,1.990333,1.894733,1.521525,5.737897
PSB_676,PSB_676,gun,5250,10391,,-1,-0.5103833,-0.5139967,1,0.003728032,-0.1415588,,2,0.5141113,0.3724379,0.3829491
PSB_176,PSB_176,human,5250,10372,,-1,-0.3733605,-0.11477,1,0.4812649,0.2459563,,2,0.8546254,0.3607263,0.6165717
PSB_376,PSB_376,head body part,5250,10019,,-1,-0.9840626,-0.802758,1,0.5324104,0.6870651,,2,1.516473,1.489823,4.518553
PSB_276,PSB_276,quadruped animal,5250,10376,,-1,-0.3210704,0.03751874,1,0.4110177,0.2799948,,2,0.7320881,0.242476,0.3550276
PSB_1217,PSB_1217,winged vehicle aircraft,5250,10386,,-1,-0.7656905,-0.2720592,0.9999999,0.4745107,0.2576872,,2,1.240201,0.5297464,1.313984
PSB_1371,PSB_1371,winged vehicle aircraft,5250,8563,,-1,-0.6554069,-0.6910152,1,0.1825348,-0.03583568,,2,0.8379417,0.6551795,1.098004
PSB_1178,PSB_1178,winged vehicle aircraft,5250,9893,,-1,-0.5986198,-0.255118,1,0.3530213,0.1463462,,2,0.9516411,0.4014642,0.7640997
PSB_1252,PSB_1252,winged vehicle aircraft,5250,8872,,-1,-0.7325079,-0.2319447,1,0.4912603,0.2197419,,2,1.223768,0.4516866,1.105519
PSB_1059,PSB_1059,plant,5250,8730,,-1,-0.8775027,-0.7620559,1,0.4638031,0.245567,,2,1.341306,1.007623,2.703061
PSB_1295,PSB_1295,winged vehicle aircraft,5250,9425,,-1,-0.5265213,-0.01867932,1,0.4470181,0.06622195,,2,0.9735394,0.08490127,0.1653095
PSB_1436,PSB_1436,sea vessel,5250,10421,,-1,-0.1554875,-0.115228,0.9999999,0.2383618,0.1597472,,2,0.3938493,0.2749752,0.2165976
PSB_1510,PSB_1510,car vehicle,5250,10570,,-1,-0.5199859,-0.2394979,1,0.4494708,0.2671213,,2,0.9694567,0.5066192,0.9822907
PSB_1566,PSB_1566,car vehicle,5250,10222,,-1,-0.006211519,0.009257317,0.851686,0.6489109,1,,1.851686,0.6551224,0.9907427,1.201851
PSB_1226,PSB_1226,winged vehicle aircraft,5250,10496,,-1,-0.4961404,-0.1234034,1,0.5208987,0.3457897,,2,1.017039,0.4691931,0.9543754
PSB_1640,PSB_1640,hat,5250,10496,,-1,-0.7047538,-0.5853046,0.9999999,0.770317,0.7540776,,2,1.475071,1.339382,3.951367
PSB_1447,PSB_1447,sea vessel,5250,9771,,-1,-0.5384697,-0.5304524,1,-0.2144198,-0.3265103,,2,0.3240499,0.2039421,0.1321748
PSB_1300,PSB_1300,winged vehicle aircraft,5250,10071,,-1,-0.9055797,-0.2081119,1,0.6145148,0.1169673,,2,1.520095,0.3250792,0.9883022
PSB_1261,PSB_1261,winged vehicle aircraft,5250,9975,,-1,-0.9520389,-0.3485227,1,0.5031104,0.1105547,,2,1.455149,0.4590774,1.336052
PSB_1356,PSB_1356,winged vehicle aircraft,5250,9456,,-0.9473791,-1,-0.3821586,1,0.5213408,-0.1150666,,1.947379,1.521341,0.267092,0.791294
PSB_1399,PSB_1399,winged vehicle aircraft,5250,9843,,-1,-0.8571813,-0.5546378,1,0.5809321,0.1396354,,2,1.438113,0.6942732,1.996887
PSB_1614,PSB_1614,chess piece,5250,10496,,-1,-0.4873146,-0.486092,0.9999999,0.3716803,0.3710697,,2,0.8589949,0.8571617,1.472595
PSB_1575,PSB_1575,car vehicle,5250,9759,,-1,-0.4410712,-0.3930002,1,0.3356376,0.7321614,,2,0.7767088,1.125162,1.747846
PSB_1235,PSB_1235,winged vehicle aircraft,5250,10222,,-0.7694119,-1,-0.3932716,1,0.7801906,0.02189934,,1.769412,1.780191,0.4151709,1.307743
PSB_1692,PSB_1692,geographic map,5250,9799,,-1,-0.6496774,-0.05902958,1,0.7006171,-0.04572773,,2,1.350294,0.01330185,0.03592283
PSB_919,PSB_919,table furniture,5250,10412,,-1,-0.9494625,-0.6328331,0.5483872,0.4993681,1,,1.548387,1.448831,1.632833,3.663018
PSB_519,PSB_519,mailbox,5250,9730,,-0.4284011,-1,-0.3422853,0.9999999,0.2406557,-0.1453655,,1.428401,1.240656,0.1969198,0.3489722
PSB_419,PSB_419,building,5250,10472,,-1,-0.4820026,-0.5303984,1,0.6563638,0.5846505,,2,1.138366,1.115049,2.538668
PSB_719,PSB_719,blade,5250,10480,,-1,-0.1679212,-0.1100231,1,0.2908903,0.104269,,2,0.4588115,0.2142921,0.1966394
PSB_619,PSB_619,lamp,5250,10407,,-1,-0.8696931,-0.871448,1,-0.5489235,-0.550762,,2,0.3207696,0.320686,0.2057326
PSB_119,PSB_119,human,5250,10124,,-1,-0.3805636,-0.2769554,0.9999999,0.1375778,0.1220937,,2,0.5181414,0.3990491,0.4135277
PSB_319,PSB_319,head body part,5250,9795,,-1,-0.9097758,-0.575573,1,0.7912667,0.6918038,,2,1.701042,1.267377,4.311724
PSB_219,PSB_219,human,5250,6648,,-0.746771,-1,-0.3271452,1,0.5919099,-0.02703261,,1.746771,1.59191,0.3001126,0.8345236
PSB_1365,PSB_1365,winged vehicle aircraft,5250,9650,,-1,-0.478281,0.1453809,0.9507143,1,0.4512385,,1.950714,1.478281,0.3058576,0.8820028
PSB_1246,PSB_1246,winged vehicle aircraft,5250,10098,,-1,-0.8264024,-0.1517275,1,0.8043907,0.4219159,,2,1.630793,0.5736434,1.870987
PSB_950,PSB_950,bed furniture,5250,10116,,-1,-0.7988888,-0.7720237,0.9064077,1,0.6502267,,1.906408,1.798889,1.42225,4.877488
PSB_850,PSB_850,shelves furniture,5250,10204,,-1,-0.8305257,-0.1746503,0.9999999,0.7831615,0.1857574,,2,1.613687,0.3604077,1.163171
PSB_1289,PSB_1289,winged vehicle aircraft,5250,10211,,-0.5843678,-1,-0.2315719,0.87921,0.9999999,0.2182671,,1.463578,2,0.449839,1.316749
PSB_550,PSB_550,display device,5250,10468,,-1,-0.8380963,-0.7705833,0.9327099,0.7217306,0.9999999,,1.93271,1.559827,1.770583,5.337764
PSB_450,PSB_450,building,5250,6633,,-1,-0.2924181,-0.2796114,1,0.2857904,0.2384572,,2,0.5782085,0.5180686,0.5991033
PSB_650,PSB_650,gun,5250,9563,,-1,-0.6799613,-0.2963982,0.9999999,0.3914603,-0.05118752,,2,1.071422,0.2452107,0.525448
PSB_150,PSB_150,human,5250,8798,,-1,-0.5014119,-0.2970212,0.9999999,0.2511413,0.139097,,2,0.7525532,0.4361182,0.6564043
PSB_1623,PSB_1623,dragon fantasy animal,5250,8864,,-1,-0.5339861,-0.8337221,1,0.8204318,0.8387171,,2,1.354418,1.672439,4.530363
PSB_350,PSB_350,head body part,5250,10351,,-0.7869447,-1,-0.3812245,0.761393,0.7141004,1,,1.548338,1.7141,1.381225,3.665778
PSB_250,PSB_250,human,5250,9832,,-0.8344024,-1,-0.5300099,1,0.3375665,-0.1790583,,1.834402,1.337566,0.3509516,0.8611072
PSB_1679,PSB_1679,sign,5250,10423,,-1,-0.817883,-0.7384899,1,-0.5456913,-0.6141939,,2,0.2721917,0.124296,0.06766468
PSB_1339,PSB_1339,balloon vehicle aircraft,5250,8658,,-1,-0.8981558,-0.8768972,1,0.365374,0.3477579,,2,1.26353,1.224655,3.094776
PSB_1796,PSB_1796,swingset,5250,10123,,-1,-0.5060441,-0.617473,0.9999999,0.820317,0.5797093,,2,1.326361,1.197182,3.175792
PSB_1374,PSB_1374,winged vehicle aircraft,5250,9767,,-1,-0.5290756,-0.2495896,1,0.2236143,0.037238,,2,0.75269,0.2868276,0.4317845
PSB_947,PSB_947,bed furniture,5250,9458,,-1,-0.7354313,-0.5067371,1,0.7118642,0.3599535,,2,1.447295,0.8666906,2.508715
PSB_847,PSB_847,shelves furniture,5250,10256,,-1,-0.7045993,-0.2394133,1,0.6377194,0.1872066,,2,1.342319,0.4266199,1.14532
PSB_547,PSB_547,liquid container,5250,10225,,-0.982673,-1,-0.5524358,1,0.9784545,0.9724941,,1.982673,1.978454,1.52493,5.981733
PSB_447,PSB_447,building,5250,9555,,-1,-0.2679731,-0.2282472,1,0.7963291,0.7514833,,2,1.064302,0.9797305,2.085459
PSB_747,PSB_747,wheel,5250,10496,,-1,-0.991911,-0.1347697,0.9925663,1,0.1424601,,1.992566,1.991911,0.2772298,1.100329
PSB_647,PSB_647,musical instrument,5250,9338,,-1,-0.8776336,-0.7042947,1,0.2503008,0.1637239,,2,1.127934,0.8680186,1.958136
PSB_913,PSB_913,table furniture,5250,10480,,-1,-0.6698684,-0.7004011,0.7782174,0.9999999,0.5649418,,1.778217,1.669868,1.265343,3.757295
PSB_147,PSB_147,human,5250,9026,,-1,-0.3171381,-0.1572554,0.9999999,0.3711102,0.2725084,,2,0.6882483,0.4297638,0.5915684
PSB_347,PSB_347,head body part,5250,9393,,-1,-0.6767647,-0.6700543,0.7674544,0.9999999,0.4940655,,1.767454,1.676765,1.16412,3.449991
PSB_513,PSB_513,liquid container,5250,10452,,-1,-0.6135598,-0.7420602,1,0.7751132,0.8542004,,2,1.388673,1.596261,4.433368
PSB_413,PSB_413,building,5250,9897,,-0.821173,-0.9737784,-1,1,0.8161777,0.9549121,,1.821173,1.789956,1.954912,6.372661
PSB_713,PSB_713,blade,5250,10363,,-1,-0.5288864,-0.4934017,0.9999999,-0.2901912,-0.327011,,2,0.2386952,0.1663907,0.07943331
PSB_613,PSB_613,lamp,5250,10149,,-1,-0.341446,-0.1655495,1,0.5834153,0.2658976,,2,0.9248613,0.4314471,0.7980574
PSB_1727,PSB_1727,door,5250,10384,,-0.7976425,-1,-0.09556884,0.9728911,1,0.07274747,,1.770534,2,0.1683163,0.5960193
PSB_113,PSB_113,skeleton body part,5250,8084,,-1,-0.4315372,-0.2818496,1,0.2025845,0.02910089,,2,0.6341217,0.3109505,0.3943609
PSB_313,PSB_313,head body part,5250,10126,,-1,-0.7626701,-0.3950986,1,0.6335961,0.4113855,,2,1.396266,0.8064841,2.252133
PSB_213,PSB_213,human,5250,10422,,-1,-0.3502851,-0.2105796,1,0.2154434,0.1481341,,2,0.5657285,0.3587137,0.4058692
PSB_1001,PSB_1001,plant,5250,6963,,-1,-0.7741109,-0.7425317,1,0.6793342,0.4718871,,2,1.453445,1.214419,3.530183
PSB_1608,PSB_1608,chess piece,5250,10496,,-1,-0.7787651,-0.7766076,0.9999999,0.8207997,0.8092629,,2,1.599565,1.585871,5.073405
PSB_926,PSB_926,table furniture,5250,9540,,-0.616289,-0.9759182,-1,0.9999999,0.9598167,0.935077,,1.616289,1.935735,1.935077,6.054288
PSB_526,PSB_526,liquid container,5250,10437,,-1,-0.5785777,-0.4929221,1,0.7934713,0.5078304,,2,1.372049,1.000752,2.746163
PSB_426,PSB_426,building,5250,6716,,-1,-0.5767963,-0.1909439,1,0.7494228,0.2139081,,2,1.326219,0.404852,1.073845
PSB_726,PSB_726,blade,5250,10455,,-1,-0.2001994,-0.07265961,1,0.3802568,0.01208293,,2,0.5804562,0.08474254,0.09837867
PSB_626,PSB_626,musical instrument,5250,10160,,-1,-0.4258438,-0.2612347,0.9999999,0.1302533,-0.140725,,2,0.5560971,0.1205097,0.1340302
PSB_126,PSB_126,human,5250,10023,,-1,-0.5196609,-0.4396204,1,-0.02849126,-0.1076545,,2,0.4911696,0.3319659,0.3261032
PSB_326,PSB_326,hand body part,5250,10077,,-1,-0.6642715,-0.6132685,1,0.4267046,0.09935677,,2,1.090976,0.7126253,1.554914
PSB_226,PSB_226,human,5250,10476,,-1,-0.9331001,-0.2708203,1,0.8129265,0.2397484,,2,1.746027,0.5105687,1.782933
PSB_1359,PSB_1359,winged vehicle aircraft,5250,10349,,-1,-0.4915259,-0.364957,1,0.4449162,0.3439938,,2,0.9364421,0.7089508,1.327783
PSB_985,PSB_985,plant,5250,6789,,-1,-0.4482488,-0.1437567,1,0.9462332,0.3501987,,2,1.394482,0.4939554,1.377624
PSB_885,PSB_885,table furniture,5250,10396,,-1,-0.5732612,-0.5865604,1,0.5437758,0.5611546,,2,1.117037,1.147715,2.56408
PSB_1736,PSB_1736,staircase,5250,9863,,-1,-0.7795299,-0.2423066,1,0.8026807,0.7918177,,2,1.582211,1.034124,3.272405
PSB_485,PSB_485,liquid container,5250,9799,,-1,-0.7378185,-0.7415504,0.9999999,-0.1497981,-0.1533158,,2,0.5880204,0.5882346,0.6917878
PSB_685,PSB_685,gun,5250,10475,,-1,-0.1853079,-0.1300232,1,0.4569755,0.211648,,2,0.6422834,0.3416712,0.4388995
PSB_185,PSB_185,human,5250,10091,,-1,-0.3379444,-0.3477302,1,0.2245076,0.2236887,,2,0.562452,0.5714189,0.6427913
PSB_385,PSB_385,building,5250,9023,,-0.9276821,-1,-0.6959608,0.9312599,1,0.7467999,,1.858942,2,1.442761,5.364017
PSB_285,PSB_285,head body part,5250,10482,,-1,-0.8089292,-0.939888,1,0.8055357,0.7241685,,2,1.614465,1.664057,5.373122
PSB_1010,PSB_1010,plant,5250,5586,,-0.5055262,-1,-0.8048275,0.9106469,1,0.8365687,,1.416173,2,1.641396,4.649003
PSB_1066,PSB_1066,plant,5250,7391,,-0.9840764,-1,-0.8018275,0.89353,0.9999999,0.1224658,,1.877606,2,0.9242933,3.470918
PSB_1140,PSB_1140,winged vehicle aircraft,5250,9816,,-1,-0.5370078,-0.4112099,0.7460972,0.9999999,0.2542461,,1.746097,1.537008,0.665456,1.785927
PSB_1747,PSB_1747,shoe,5250,10162,,-1,-0.4031393,-0.5198387,1,0.3059143,0.3622426,,2,0.7090536,0.8820813,1.250886
PSB_1183,PSB_1183,winged vehicle aircraft,5250,9910,,-1,-0.6637582,0.02208257,0.9381199,0.9999999,0.4486639,,1.93812,1.663758,0.4265813,1.375538
PSB_1454,PSB_1454,sea vessel,5250,10448,,-1,-0.6274462,-0.665184,0.892874,1,0.6120776,,1.892874,1.627446,1.277262,3.934669
PSB_1497,PSB_1497,car vehicle,5250,10424,,-1,-0.6153008,-0.5159434,1,0.05321455,0.152171,,2,0.6685153,0.6681144,0.8932894
PSB_1075,PSB_1075,plant,5250,10464,,-0.8551821,-1,-0.8073761,1,0.1532856,-0.1019765,,1.855182,1.153286,0.7053996,1.509241
PSB_1192,PSB_1192,winged vehicle aircraft,5250,9759,,-0.893665,-1,-0.1278608,1,0.9810531,0.1885278,,1.893665,1.981053,0.3163886,1.186916
PSB_1428,PSB_1428,sea vessel,5250,8975,,-1,-0.1907362,-0.1717328,0.9999999,0.2860377,0.08134162,,2,0.4767739,0.2530744,0.2413185
PSB_1502,PSB_1502,car vehicle,5250,8255,,-1,-0.4846199,-0.2076001,1,0.5417961,0.2090547,,2,1.026416,0.4166548,0.8553222
PSB_900,PSB_900,table furniture,5250,9206,,-1,-0.4577123,-0.382948,1,0.837145,0.3839113,,2,1.294857,0.7668593,1.985947
PSB_1463,PSB_1463,sea vessel,5250,10419,,-1,-0.1381094,-0.1252626,1,0.1557754,0.07991326,,2,0.2938848,0.2051759,0.1205961
PSB_500,PSB_500,liquid container,5250,10496,,-1,-0.7023461,-0.7453286,0.8716698,1,0.9508362,,1.87167,1.702346,1.696165,5.404371
PSB_400,PSB_400,building,5250,10200,,-1,-0.8748177,-0.7969725,1,0.8894231,0.8126361,,2,1.764241,1.609609,5.679474
PSB_700,PSB_700,blade,5250,10220,,-1,-0.4931582,-0.4055978,1,-0.1774603,-0.2631789,,2,0.3156979,0.1424189,0.08992269
PSB_100,PSB_100,quadruped animal,5250,10496,,-1,-0.5843718,-0.6461963,1,0.3165941,0.4032336,,2,0.9009659,1.04943,1.891001
PSB_1123,PSB_1123,winged vehicle aircraft,5250,9984,,-0.4677298,-1,-0.3272588,0.992812,1,0.2689962,,1.460542,2,0.596255,1.741711
PSB_300,PSB_300,head body part,5250,10188,,-0.6840147,-0.630602,-1,0.9999999,0.9573097,0.9164541,,1.684015,1.587912,1.916454,5.124725
PSB_200,PSB_200,human,5250,9846,,-1,-0.4840522,-0.3015477,1,0.1700161,0.1402335,,2,0.6540683,0.4417812,0.5779102
PSB_1580,PSB_1580,train vehicle,5250,10173,,-1,-0.4119295,-0.4138185,1,0.4244248,0.3571502,,2,0.8363543,0.7709687,1.289606
PSB_1179,PSB_1179,winged vehicle aircraft,5250,9362,,-1,-0.4701917,0.04656148,0.9999999,0.7643267,0.4606473,,2,1.234518,0.4140858,1.022393
PSB_1253,PSB_1253,winged vehicle aircraft,5250,9743,,-1,-0.650301,-0.06180513,1,0.773525,0.3612902,,2,1.423826,0.4230953,1.204828
PSB_1296,PSB_1296,winged vehicle aircraft,5250,10165,,-1,-0.4767154,-0.09252399,1,0.5367227,0.1237648,,2,1.013438,0.2162888,0.4383906
PSB_1630,PSB_1630,hat,5250,10496,,-1,-0.9378902,-0.4110588,1,0.880159,0.5017859,,2,1.818049,0.9128447,3.319193
PSB_1437,PSB_1437,sea vessel,5250,9111,,-1,-0.1829937,-0.1712973,1,0.379088,0.04160428,,2,0.5620817,0.2129016,0.2393362
PSB_1511,PSB_1511,car vehicle,5250,9991,,-1,-0.714278,-0.448927,1,0.4487158,0.02125776,,2,1.162994,0.4701847,1.093644
PSB_1472,PSB_1472,cycle vehicle,5250,10016,,-1,-0.6455536,-0.3440489,1,0.6865524,0.4691652,,2,1.332106,0.8132141,2.166575
PSB_977,PSB_977,plant,5250,10448,,-1,-0.9734771,-0.8486367,0.9999999,0.3191361,0.3260024,,2,1.292613,1.174639,3.036708
PSB_877,PSB_877,table furniture,5250,10472,,-0.9623978,-1,-0.1832461,1,0.9419113,0.4848965,,1.962398,1.941911,0.6681426,2.54616
PSB_577,PSB_577,microchip,5250,9006,,-1,-0.5722421,-0.1367689,1,0.7033598,0.3642792,,2,1.275602,0.5010481,1.278276
PSB_477,PSB_477,building,5250,9726,,-1,-0.08029801,-0.06266022,1,0.6455277,0.6683768,,2,0.7258257,0.731037,1.061211
PSB_677,PSB_677,gun,5250,10424,,-1,-0.4959229,-0.4268019,0.9999999,-0.3038152,-0.3530532,,2,0.1921077,0.07374868,0.02833538
PSB_1567,PSB_1567,car vehicle,5250,9977,,-1,-0.6119143,-0.7266704,1,0.4954727,0.6595553,,2,1.107387,1.386226,3.070177
PSB_177,PSB_177,human,5250,10366,,-1,-0.4105157,-0.2108037,1,0.3316385,0.229856,,2,0.7421542,0.4406597,0.6540749
PSB_377,PSB_377,head body part,5250,10000,,-1,-0.8437328,-0.9803935,1,0.4701174,0.5518662,,2,1.31385,1.53226,4.02632
PSB_277,PSB_277,underwater creature animal,5250,10452,,-1,-0.684041,-0.1342801,1,0.8326062,0.3727945,,2,1.516647,0.5070746,1.538107
PSB_1227,PSB_1227,winged vehicle aircraft,5250,9492,,-1,-0.5826594,0.106972,0.9999999,0.9656262,0.3569075,,2,1.548286,0.2499355,0.7739429
PSB_1641,PSB_1641,hat,5250,10488,,-1,-0.595191,-0.5353123,0.9293008,1,0.4932129,,1.929301,1.595191,1.028525,3.165393
PSB_1448,PSB_1448,sea vessel,5250,10268,,-1,-0.7350155,-0.4672784,0.2395962,1,-0.1569029,,1.239596,1.735016,0.3103755,0.6675304
PSB_1301,PSB_1301,winged vehicle aircraft,5250,10496,,-1,-0.6625637,-0.09438127,1,0.6869707,0.1321304,,2,1.349534,0.2265117,0.6113706
PSB_1684,PSB_1684,sign,5250,10488,,-0.9549472,-1,-0.06113923,0.9999999,0.8872631,0.1173478,,1.954947,1.887263,0.178487,0.6585278
PSB_1262,PSB_1262,winged vehicle aircraft,5250,9815,,-1,-0.4774247,0.06529748,1,0.8324915,0.4875978,,2,1.309916,0.4223003,1.106356
PSB_1520,PSB_1520,car vehicle,5250,7872,,-1,-0.6441479,-0.396803,1,0.4387448,0.09883845,,2,1.082893,0.4956414,1.073453
PSB_1576,PSB_1576,car vehicle,5250,8994,,-1,-0.3428327,-0.340115,1,0.2751693,0.4171637,,2,0.6180021,0.7572787,0.9359996
PSB_1236,PSB_1236,winged vehicle aircraft,5250,9919,,-1,-0.8765878,-0.2998612,1,0.4782557,0.1175134,,2,1.354843,0.4173746,1.130955
PSB_1650,PSB_1650,city,5250,6650,,-0.1440542,-1,0.2408043,0.9999999,0.7435622,0.6830732,,1.144054,1.743562,0.4422689,0.8822068
PSB_1457,PSB_1457,sea vessel,5250,10123,,-1,-0.5419996,-0.3753197,0.9999999,0.6612004,0.3527805,,2,1.2032,0.7281002,1.7521
PSB_1310,PSB_1310,helicopter aircraft,5250,10444,,-0.8678814,-1,-0.4650962,0.9999999,0.4599247,0.05366266,,1.867881,1.459925,0.5187589,1.414638
PSB_1693,PSB_1693,geographic map,5250,9710,,-1,-0.6353036,-0.07935762,0.9999999,0.6370226,-0.07935762,,2,1.272326,0,0
PSB_1366,PSB_1366,winged vehicle aircraft,5250,10278,,-1,-0.6542645,-0.3261086,1,0.2901609,0.1390486,,2,0.9444254,0.4651572,0.8786126
PSB_1247,PSB_1247,winged vehicle aircraft,5250,10469,,-1,-0.7821072,-0.2729924,1,0.569662,0.276848,,2,1.351769,0.5498404,1.486515
PSB_1624,PSB_1624,dragon fantasy animal,5250,10532,,-0.6376862,-1,-0.4512513,0.9777949,1,0.4962982,,1.615481,2,0.9475495,3.061496
PSB_1505,PSB_1505,car vehicle,5250,9525,,-1,-0.3234894,-0.08928537,1,0.4468153,0.3080325,,2,0.7703047,0.3973179,0.6121116
PSB_1754,PSB_1754,snowman,5250,10468,,-1,-0.7463509,-0.7454231,1,0.8535163,0.465809,,2,1.599867,1.211232,3.875621
PSB_96,PSB_96,quadruped animal,5250,10161,,-1,-0.7346179,-0.4301204,1,0.4141984,0.06372881,,2,1.148816,0.4938492,1.134684
PSB_1797,PSB_1797,fireplace,5250,8313,,-0.7780378,-1,-0.1973088,0.657251,0.1525899,0.9999999,,1.435289,1.15259,1.197309,1.980707
PSB_86,PSB_86,quadruped animal,5250,9547,,-0.8616896,-1,-0.09190452,1,0.811277,0.2860684,,1.86169,1.811277,0.3779729,1.274538
PSB_56,PSB_56,underwater creature animal,5250,9824,,-1,-0.7248941,-0.5810771,0.9999999,-0.001725614,-0.2771924,,2,0.7231685,0.3038847,0.4395196
PSB_46,PSB_46,flying creature animal,5250,10245,,-1,-0.4148817,-0.110445,0.9836622,1,0.5235647,,1.983662,1.414882,0.6340097,1.779442
PSB_76,PSB_76,underwater creature animal,5250,10491,,-1,-0.603164,-0.6405717,1,0.07444036,0.134879,,2,0.6776044,0.7754507,1.050898
PSB_66,PSB_66,underwater creature animal,5250,9376,,-1,-0.7015202,-0.6330021,0.9999999,0.2148286,0.2036647,,2,0.9163488,0.8366668,1.533357
PSB_16,PSB_16,arthropod animal,5250,10354,,-1,-0.54874,-0.02439994,0.9999999,0.888567,0.4501675,,2,1.437307,0.4745674,1.364198
PSB_36,PSB_36,flying creature animal,5250,10425,,-1,-0.7927846,-0.6977209,0.8077779,0.4715695,0.9999999,,1.807778,1.264354,1.697721,3.880432
PSB_26,PSB_26,arthropod animal,5250,10242,,-1,-0.8106352,-0.2291168,0.8627212,1,0.4389938,,1.862721,1.810635,0.6681106,2.253342
PSB_1375,PSB_1375,winged vehicle aircraft,5250,10208,,-1,-0.7387779,-0.3019202,1,0.9085965,0.5454683,,2,1.647374,0.8473885,2.791932
PSB_951,PSB_951,bed furniture,5250,9984,,-0.8228583,-1,-0.643122,1,0.3889493,0.2410119,,1.822858,1.388949,0.8841339,2.238501
PSB_851,PSB_851,shelves furniture,5250,10231,,-1,-0.9893985,-0.3693672,1,0.6434753,0.1849413,,2,1.632874,0.5543085,1.810232
